code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603117,万林股份,仓储物流,江苏,18.85,6.26,6.47,578906.13,391054.78,82551.75,113908.07,1.76,0.097,3.48,1.05,20150629,68038.15,1.05,100.62,30.57,49.96,13.86,29263.0
603118,共进股份,通信设备,深圳,35.11,7.76,7.82,796164.69,516586.56,123999.27,268115.53,3.43,0.07200000000000001,5.59,0.91,20150225,83981.3,1.07,1.94,-58.15,10.38,1.56,40882.0
603123,翠微股份,百货,北京,19.77,5.24,5.24,499400.44,170897.38,188920.94,173578.56,3.31,0.14400000000000002,5.81,0.98,20120503,62380.01,1.19,0.24,27.31,19.99,2.98,18115.0
603126,中材节能,环境保护,天津,28.53,6.11,6.11,337705.41,213162.27,86921.86,7177.46,0.12,0.083,2.6,1.82,20140731,79740.67,1.31,10.54,-19.83,21.26,6.1,57673.0
603127,昭衍新药,医疗保健,北京,99.93,0.56,1.15,100898.93,62803.83,23376.95,24083.0,2.09,0.195,4.87,8.02,20170825,20056.4,1.74,42.21,84.17,51.32,16.61,6805.0
603128,华贸物流,仓储物流,上海,15.27,9.55,10.12,560119.5,380906.16,64585.55,193767.52,1.91,0.253,3.9,1.32,20120529,92215.18,0.91,8.94,19.1,11.61,3.73,65451.0
603129,春风动力,摩托车,浙江,16.13,0.65,1.35,206233.27,156136.38,21465.92,60163.83,4.47,0.722,7.12,2.18,20170818,22853.4,1.7,41.18,15.09,27.72,5.21,15448.0
603131,上海沪工,专用机械,上海,46.23,0.5,2.0,96439.86,70296.59,12740.28,17166.15,0.86,0.226,3.38,4.12,20160607,26800.5,1.34,9.29,-27.01,22.68,7.87,14785.0
603133,碳元科技,元器件,江苏,53.74,1.12,2.08,116375.38,80740.31,15384.44,42398.89,2.04,0.224,4.43,3.63,20170320,24455.15,1.18,7.9,8.42,24.09,11.95,21738.0
603136,天目湖,旅游景点,江苏,20.21,0.2,0.8,107977.1,23223.0,70208.9,35576.37,4.45,0.613,9.64,2.57,20170927,30084.2,3.76,2.3,11.06,64.07,22.36,11557.0
603138,海量数据,软件服务,北京,45.28,0.47,1.5,62074.86,55639.76,690.67,11407.62,0.76,0.277,2.75,6.09,20170306,14808.11,0.98,2.11,-6.0,27.24,10.8,17631.0
603139,康惠制药,中成药,陕西,34.86,0.54,1.0,100243.56,83385.67,6048.27,41201.68,4.13,0.329,9.25,1.65,20170421,37192.0,3.72,6.74,-9.66,52.69,13.23,11849.0
